Title,Author,Year,Country,Region,Continent,Read,OriginalLanguage,Pages,Description,Tags,Category
Works and Days,Hesiod,700 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Long verse
Argonautica,Apollonius of Rhodes,250 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,320,A book from Greece.,,Long verse
De Rerum Natura,Lucretius,55 BC,Rome,Southern Europe,Europe,,Latin,320,A book from Rome.,,Long verse
The Aeneid,Virgil,19 BC,Rome,Southern Europe,Europe,1,Latin,384,A book from Rome.,,Long verse
Metamorphoses,Ovid,8,Rome,Southern Europe,Europe,,Latin,560,A book from Rome.,,Long verse
Pharsalia,Lucan,65,Rome,Southern Europe,Europe,,Latin,400,A book from Rome.,,Long verse
Thebaid,Statius,92,Rome,Southern Europe,Europe,,Latin,480,A book from Rome.,,Long verse
Dionysiaca,Nonnus,450,Egypt,Northern Africa,Africa,,Ancient Greek,960,"Nonnos of Panopolis in Egypt, who lived in the fifth century of our era, composed the last great epic poem of antiquity. The ""Dionysiaca,"" in 48 books, has for its chief theme the expedition of Dionysus against the Indians; but the poet contrives to include all the adventures of the god (as well as much other mythological lore) in a narrative which begins with chaos in heaven and ends with the apotheosis of Ariadne's crown. The wild ecstasy inspired by the god is certainly reflected in the poet's style, which is baroque, extravagant, and unrestrained. It seems that Nonnos was in later years converted to Christianity, for in marked contrast to the ""Dionysiaca,"" a poem dealing unreservedly with classical myths and redolent of a pagan outlook, there is extant and ascribed to him a hexameter paraphrase of the Gospel of John.",,Long verse
The Mahabharata,Anonymous,400,India,Southern Asia,Asia,,Sanskrit,1800,A book from India.,,Long verse
Bhagavad Gita,Vyasa,200 BC,India,Southern Asia,Asia,1,Sanskrit,120,A book from India.,,Long verse
Ramayana,Valmiki,300 BC,India,Southern Asia,Asia,,Sanskrit,480,A book from India.,,Long verse
Raghuvamsa,Kalidasa,400,India,Southern Asia,Asia,,Sanskrit,240,A book from India.,,Long verse
The Cloud Messenger,Kalidasa,400,India,Southern Asia,Asia,,Sanskrit,80,A book from India.,,Long verse
Cilappatikaram: The Tale of an Anklet,Ilango Adigal,500,India,Southern Asia,Asia,,Tamil,320,"‘Men and women of Maturai of the four temples! I curse this city. Its king erred in killing the man I loved’

One of the world's masterpieces, The Cilappatikaram (5th century ce) by Ilanko Atikal is India's finest epic in a language other than Sanskrit. It spells out in unforgettable verse the problems that humanity has been wrestling with for a long time: love, war, evil, fate and death.

The Tale of an Anklet is the love story of Kovalan and Kannaki. Originating in Tamil mythology, the compelling tale of Kannaki—her love, her feats and triumphs, and her ultimate transformation to goddess—follows the conventions of Tamil poetry and is told in three phases: the erotic, the heroic and the mythic. This epic ranks with the Ramayana and the Mahabharata as one of the great classics of Indian literature",,Long verse
Arjuna and the Hunter,Bharavi,550,India,Southern Asia,Asia,,Sanskrit,240,"Kirātārjunīya, or Arjuna and the Hunter, is one of the great court epics of the Sanskrit literary canon. Written by the sixth-century poet Bharavi, it is also the first and most remarkable reinterpretation of a pivotal episode in the Mahābhārata, India’s ancient epic. The warrior Arjuna travels to the Himalayas to perform penance and win a boon from the god Shiva that will help his brothers, the Pandavas, overcome their enemies in righteous war. Appearing in the guise of a hunter, Shiva tests Arjuna’s courage in combat, ultimately reveals himself, and bestows upon the hero an invincible weapon.

In Bharavi’s hands, the episode is turned into a masterful contemplation of heroic action, ethical conduct, ascetic discipline, and religious devotion—core values in India’s classical civilization and enduring themes in Indian literature. But the poem’s fame rests above all on its aesthetic achievement. With its elegant, epigrammatic verse, powerful imagery, dramatic speeches, and vivid descriptions, Arjuna and the Hunter, will dazzle and move contemporary readers no less powerfully than its first courtly connoisseurs.",,Long verse
The Killing of Shishupala,Magha,700,India,Southern Asia,Asia,,Sanskrit,320,"Magha’s The Killing of Shishupala, written in the seventh century, is a celebrated example of the Sanskrit genre known as mahākāvya, or great poem. This adaptation from the epic Mahābhārata tells the story of Shishupala, who disrupts Yudhishthira’s coronation by refusing to honor Krishna, the king’s principal ally and a manifestation of divinity. When Shishupala challenges Krishna to combat, he is immediately beheaded.

Magha, who was likely a court poet in western India, draws on the rich stylistic resources of Sanskrit poetry to imbue his work with unparalleled sophistication. He expands the narrative’s cosmic implications through elaborate depictions of the natural world and intense erotic sensuality, mixing myth and classical erudition with scenes of political debate and battlefield slaughter. Krishna is variously portrayed as refined prince, formidable warrior, and incarnation of the god Vishnu protecting the world from demonic threat.",,Long verse
Gita Govinda,Jayadeva,1170,India,Southern Asia,Asia,,Sanskrit,160,A book from India.,,Long verse
Krishna: The Beautiful Legend of God,Anonymous,900,India,Southern Asia,Asia,,Sanskrit,560,A book from India.,,Long verse
Ramcharitmanas,Goswami Tulsidas,1574,India,Southern Asia,Asia,,Awadhi,960,A book from India.,,Long verse
A Tale of Wonder,Srivara,1450,Kashmir,,,,Sanskrit,320,A book from Kashmir.,,Long verse
The Song of Everlasting Sorrow,Bai Juyi,806,China,Eastern Asia,Asia,,Classical Chinese,40,A book from China.,,Long verse
The Tale of Kieu,Nguyen Du,1820,Vietnam,South-Eastern Asia,Asia,,Vietnamese,224,A book from Vietnam.,,Long verse
Reamker,Anonymous,1600,Cambodia,South-Eastern Asia,Asia,,Khmer,280,A book from Cambodia.,,Long verse
Beowulf,Anonymous,1000,England,Northern Europe,Europe,,Old English,128,A book from England.,,Long verse
The Song of Roland,Anonymous,1100,France,Western Europe,Europe,1,Old French,160,A book from France.,,Long verse
El Cid,Anonymous,1200,Spain,Southern Europe,Europe,,Old Spanish,160,A book from Spain.,,Long verse
The Nibelungenlied,Anonymous,1200,Germany,Western Europe,Europe,,Middle High German,384,A book from Germany.,,Long verse
Parzival,Wolfram von Eschenbach,1210,Germany,Western Europe,Europe,,Middle High German,448,A book from Germany.,,Long verse
Tristan,Gottfried von Strassburg,1210,Germany,Western Europe,Europe,,Middle High German,384,A book from Germany.,,Long verse
"Lancelot, the Knight of the Cart",Chretien de Troyes,1180,France,Western Europe,Europe,,Old French,128,A book from France.,,Long verse
"Perceval, the Story of the Grail",Chretien de Troyes,1190,France,Western Europe,Europe,,Old French,160,A book from France.,,Long verse
The Romance of the Rose,Jean de Lorris,1275,France,Western Europe,Europe,,Old French,512,A book from France.,,Long verse
Sir Gawain and the Green Knight,Anonymous,1400,England,Northern Europe,Europe,,Middle English,128,A book from England.,,Long verse
Piers Plowman,William Langland,1387,England,Northern Europe,Europe,,Middle English,384,A book from England.,,Long verse
The Canterbury Tales,Geoffrey Chaucer,1400,England,Northern Europe,Europe,,Middle English,544,A book from England.,,Long verse
Troilus and Criseyde,Geoffrey Chaucer,1385,England,Northern Europe,Europe,,Middle English,368,A book from England.,,Long verse
The Divine Comedy,Dante Alighieri,1321,Italy,Southern Europe,Europe,1,Italian,752,A book from Italy.,,Long verse
Orlando Innamorato,Matteo Maria Boiardo,1495,Italy,Southern Europe,Europe,,Italian,760,A book from Italy.,,Long verse
Orlando Furioso,Ludovico Ariosto,1532,Italy,Southern Europe,Europe,,Italian,688,A book from Italy.,,Long verse
Jerusalem Delivered,Torquato Tasso,1581,Italy,Southern Europe,Europe,,Italian,480,A book from Italy.,,Long verse
The Faerie Queene,Edmund Spenser,1596,England,Northern Europe,Europe,,English,1248,A book from England.,,Long verse
Paradise Lost,John Milton,1667,England,Northern Europe,Europe,,English,384,A book from England.,,Long verse
The Lusiads,Luis de Camoes,1572,Portugal,Southern Europe,Europe,,Portuguese,256,"First published in 1572, The Lusiads is one of the greatest epic poems of the Renaissance, immortalizing Portugal's voyages of discovery with an unrivalled freshness of observation.

At the centre of The Lusiads is Vasco da Gama's pioneer voyage via southern Africa to India in 1497-98. The first European artist to cross the equator, Camoes's narrative reflects the novelty and fascination of that original encounter with Africa, India and the Far East. The poem's twin symbols are the Cross and the Astrolabe, and its celebration of a turning point in mankind's knowledge of the world unites the old map of the heavens with the newly discovered terrain on earth. Yet it speaks powerfully, too, of the precariousness of power, and of the rise and decline of nationhood, threatened not only from without by enemies, but from within by loss of integrity and vision.",,Long verse
The Knight in the Panther Skin,Shota Rustaveli,1200,Georgia,Western Asia,Asia,,Georgian,288,A book from Georgia.,,Long verse
The Tale of Igor's Campaign,Anonymous,1185,Ukraine,Eastern Europe,Europe,,Old East Slavic,64,A book from Ukraine.,,Long verse
The Mountain Wreath,Petar II Petrovic-Njegos,1847,Montenegro,Southern Europe,Europe,,Serbian,128,"The Mountain Wreath (Serbian: Gorski vijenac) is a poem and a play, a masterpiece of Serbian literature, written by Montenegrin Prince-Bishop and poet Petar II Petrovic-Njegos.
Njegos wrote The Mountain Wreath during 1846 in Cetinje and published it the following year after the printing in an Armenian monastery in Vienna. It is a modern epic written in verse as a play, thus combining three of the major modes of literary expression.
Set in 18th-century Montenegro, the poem deals with attempts of Njegos's ancestor Danilo to regulate relations among the region's warring tribes. Written as a series of fictitious scenes in the form of dialogues and monologues, the poem opens with Metropolitan Danilo's vision of the spread of Turkish power in Europe. Torn by inner conflict he sees that the struggle is inevitable, but dreads the issues.
Starting as a poetic vision it develops into a political-historical drama that expands into a wreath of epic depictions of Montenegrin life, including feasts, gatherings, customs, beliefs, and the struggle to survive the Ottoman oppression. With a strong philosophical basis in its 2819 verses The Mountain Wreath depicts three distinct, opposing civilizations: the heroic-patriarchal classic Montenegro, the oriental-islamic Ottoman Empire and the west-European Venetian civilization.
The poem is constructed around a single, allegedly historical event, that took place on a particular Christmas Day in the early 1700s, during Metropolitan Danilo's rule: the mass execution of Montenegrins who had converted to Islam, known as ""The Inquisition of the Turkicized"" (Istraga Poturica). Despite the difficulty of proving that an event of such magnitude and in such manner as described by Njegos ever took place in Montenegro, the poem's main theme is a subject of significant political and ideological debate. Recently published History of Montenegro tells us that such an event initiated by Metropolitan Danilo occurred in 1707, but was highly localized in character, happening only in Ceklici clan, one of over twenty tribes of Old Montenegro.
The fact that Njegos used this event only as a general framework, without bothering about the exact historical data, underscores his concern with an issue that preoccupied him throughout his entire life and which was in line with Romantic thought: the struggle against Ottoman domination. He subjects the entire plot and all characters to this central idea.",,Long verse
The Baptism on the Savica,France Preseren,1836,Slovenia,Southern Europe,Europe,,Slovenian,48,A book from Slovenia.,,Long verse
Kalevala,Elias Lonnrot,1849,Finland,Northern Europe,Europe,,Finnish,680,A book from Finland.,,Long verse
Pan Tadeusz,Adam Mickiewicz,1834,Poland,Eastern Europe,Europe,,Polish,384,A book from Poland.,,Long verse
Eugene Onegin,Alexander Pushkin,1833,Russia,Eastern Europe,Europe,,Russian,240,A book from Russia.,,Long verse
Ruslan and Lyudmila,Alexander Pushkin,1820,Russia,Eastern Europe,Europe,,Russian,128,A book from Russia.,,Long verse
The Bronze Horseman,Alexander Pushkin,1833,Russia,Eastern Europe,Europe,,Russian,64,A book from Russia.,,Long verse
The Demon,Mikhail Lermontov,1842,Russia,Eastern Europe,Europe,,Russian,128,A book from Russia.,,Long verse
Faust,Goethe,1832,Germany,Western Europe,Europe,,German,464,A book from Germany.,,Long verse
Don Juan,Lord Byron,1824,England,Northern Europe,Europe,,English,784,A book from England.,,Long verse
Childe Harold's Pilgrimage,Lord Byron,1818,England,Northern Europe,Europe,,English,320,A book from England.,,Long verse
Prometheus Unbound,Percy Bysshe Shelley,1820,England,Northern Europe,Europe,,English,160,A book from England.,,Long verse
The Prelude,William Wordsworth,1850,England,Northern Europe,Europe,,English,288,A book from England.,,Long verse
Idylls of the King,Alfred Tennyson,1885,England,Northern Europe,Europe,,English,384,A book from England.,,Long verse
Aurora Leigh,Elizabeth Barrett Browning,1856,England,Northern Europe,Europe,,English,432,A book from England.,,Long verse
The Ring and the Book,Robert Browning,1868,England,Northern Europe,Europe,,English,624,A book from England.,,Long verse
The Legend of the Centuries,Victor Hugo,1883,France,Western Europe,Europe,,French,560,A book from France.,,Long verse
Anabase,Saint-John Perse,1924,France,Western Europe,Europe,,French,128,A book from France.,,Long verse
The Waste Land,T. S. Eliot,1922,USA,Northern America,North America,,English,64,A book from England.,,Long verse
Four Quartets,T. S. Eliot,1943,USA,Northern America,North America,,English,64,A book from England.,,Long verse
The Bridge,Hart Crane,1930,USA,Northern America,North America,,English,128,A book from USA.,,Long verse
The Cantos,Ezra Pound,1968,USA,Northern America,North America,,English,824,A book from USA.,,Long verse
Paterson,William Carlos Williams,1963,USA,Northern America,North America,,English,320,A book from USA.,,Long verse
The Odyssey: A Modern Sequel,Nikos Kazantzakis,1938,Greece,Southern Europe,Europe,,Greek,824,A book from Greece.,,Long verse
Aniara,Harry Martinson,1956,Sweden,Northern Europe,Europe,,Swedish,224,A book from Sweden.,,Long verse
Autobiography of Red,Anne Carson,1998,Canada,Northern America,North America,,English,160,A book from Canada.,,Long verse
The Golden Gate,Vikram Seth,1986,India,Southern Asia,Asia,,English,307,A book from India.,,Long verse
Fredy Neptune,Les Murray,1998,Australia,Australia and New Zealand,Oceania,,English,272,"When German-Australian sailor Friedrich ""Fredy"" Boettcher is shanghaied aboard a German Navy battleship at the outbreak of World War I, the sight of frenzied mobs burning Armenian women to death in Turkey causes him, through moral shock, to lose his sense of touch. This mysterious disability, which he knows he must hide, is both protection and curse, as he orbits the high horror and low humor of a catastrophic age.Told in a blue-collar English that regains freshness by eschewing the mind-set of literary language, Fredy's picaresque life-as, perhaps, the only Nordic Superman ever-is deep-dyed in layers of irony and attains a mind-inverting resolution.",,Long verse
Omeros,Derek Walcott,1990,Saint Lucia,Caribbean,North America,,English,320,A book from Saint Lucia.,,Long verse
Another Life,Derek Walcott,1973,Saint Lucia,Caribbean,North America,,English,160,A book from Saint Lucia.,,Long verse
Notebook of a Return to the Native Land,Aime Cesaire,1939,Martinique,Caribbean,North America,,French,80,A book from Martinique.,,Long verse
Altazor,Vicente Huidobro,1931,Chile,South America,South America,,Spanish,96,A book from Chile.,,Long verse
Canto General,Pablo Neruda,1950,Chile,South America,South America,,Spanish,560,A book from Chile.,,Long verse
La Araucana,Alonso de Ercilla,1589,Chile,South America,South America,,Spanish,600,A book from Chile.,,Long verse
Martin Fierro,Jose Hernandez,1872,Argentina,South America,South America,,Spanish,280,A book from Argentina.,,Long verse
Morte e Vida Severina,Joao Cabral de Melo Neto,1955,Brazil,South America,South America,1,Portuguese,96,A book from Brazil.,,Long verse
The Conference of the Birds,Farid od-Din Attar,1177,Iran,Southern Asia,Asia,,Persian,256,A book from Iran.,,Long verse
Masnavi,Rumi,1273,Afghanistan,Southern Asia,Asia,,Persian,1200,A book from Afghanistan.,,Long verse
Shahnameh,Abolqasem Ferdowsi,1010,Iran,Southern Asia,Asia,,Persian,960,A book from Iran.,,Long verse
Garshaspnameh,Asadi Tusi,1066,Iran,Southern Asia,Asia,,Persian,464,"Composed in 1066 but only now translated into English, the Garšāspnāme by ʿAlī ben Aḥmad Asadī Ṭūsī is a Persian epic that interprets Avestan and earlier Indo-European myths for the Islamic peoples of Mediaeval Iran and Afghanistan.

The “Book of Garšāsp” is a story taking readers on a picaresque adventure throughout the known world. Combining a violent odyssey with enlightening discourses on the nature of the universe, Asadī’s masterpiece follows the Iranian hero Garšāsp on his exploits from India to Byzantium, and from Tunisia to China. This is an enthralling saga filled with dragons, conquests, princesses, and magic.",,Long verse
Vis and Ramin,Fakhruddin Asad Gurgani,1050,Iran,Southern Asia,Asia,,Persian,576,A book from Iran.,,Long verse
Layli and Majnun,Nizami Ganjavi,1188,Azerbaijan,Western Asia,Asia,,Persian,240,A book from Azerbaijan.,,Long verse
The Book of Alexander,Nizami Ganjavi,1202,Azerbaijan,Western Asia,Asia,,Persian,480,A book from Azerbaijan.,,Long verse
Yusuf and Zulaikha,Jami,1483,Afghanistan,Southern Asia,Asia,,Persian,320,"A romantic tale that, as sheer gripping entertainment, bears comparison with the finest in any age or country. Described in the Qur'an as ""the most beautiful of stories,"" the romance of Yusuf and Zulaikha is a theme to which Eastern poets have constantly returned. Undoubtedly in Jami's deeply moving and thought-provoking version it finds its finest expression.",,Long verse
The Book of Dede Korkut,Anonymous,1500,Turkey,Western Asia,Asia,,Oghuz Turkic,240,A book from Turkey.,,Long verse
Daredevils of Sassoun,Anonymous,900,Armenia,Western Asia,Asia,,Armenian,280,A book from Armenia.,,Long verse
The Memorial Feast for Kokotoy Khan,Saghimbay Orozbaq Uulu,1910,Kyrgyzstan,Central Asia,Asia,,Kyrgyz,336,A book from Kyrgyzstan.,,Long verse
The Incomparable Festival,Mir Yar Ali Jan Sahib,1775,India,Southern Asia,Asia,,Urdu,320,A book from India.,,Long verse
Sunjata,Anonymous,1200,Mali,Western Africa,Africa,,Manding,180,A book from Mali.,,Long verse
The Mwindo Epic,Anonymous,1900,Congo DRC,Middle Africa,Africa,,Nyanga,180,"The feats of the hero Mwindo are glorified in this epic work, sung and narrated in a Bantu language and acted out by a member of the Nyanga tribe in the remote forest regions of what is now the Democratic Republic of the Congo. Beautifully structured and richly poetic, the epic is in prose form, interspersed with song and proverbs in verse. As an example of the classic tradition of oral folk literature, the tale provides profound insights into the social structure, values, and cosmology of this African people.",,Long verse
The Epic of Askia Mohammed,Anonymous,1500,Mali,Western Africa,Africa,,Songhay,160,"Askia Mohammed is the most famous leader in the history of the Songhay Empire, which reached its apogee during his reign in 1493-1528. Songhay, approximately halfway between the present-day cities of Timbuktu in Mali and Niamey in Niger, became a political force beginning in 1463, under the leadership of Sonni Ali Ber. By the time of his death in 1492, the foundation had been laid for the development under Askia Mohammed of a complex system of administration, a well-equipped army and navy, and a network of large government-owned farms. The present rendition of the epic was narrated by the griot (or jesere) Nouhou Malio over two evenings in Saga, a small town on the Niger River, two miles downstream from Niamey. The text is a word-for-word translation from Nouhou Malio's oral performance.",,Long verse
Ibonia,Anonymous,1600,Madagascar,Eastern Africa,Africa,,Malagasy,160,"Ibonia: Epic of Madagascar is a discovery: the first English translation of the major work of Malagasy oral literature, recorded in 1877 from an anonymous bard by a Norwegian missionary and translated by Lee Haring, who was called ""the pre-eminent American scholar of Malagasy verbal art"" by Research in African Literatures. Ibonia is the epic tale of the birth and exploits of a royal hero. His mother, a queen of heroic caliber, is barren until she consults a diviner, who brings about the hero's conception. An unusual birth and precocious strength prepare the hero to go in quest of his betrothed, who has been abducted. Such tests of worth as combat with a crocodile, supernatural aid, and a victorious struggle with her abductor prove him a true epic hero worthy of ruling his people.",,Long verse
Song of Lawino,Okot p'Bitek,1966,Uganda,Eastern Africa,Africa,,Acholi,128,A book from Uganda.,,Long verse
Betrayal in the City,Francis Imbuga,1976,Kenya,Eastern Africa,Africa,,English,100,A book from Kenya.,,Drama
The Dilemma of a Ghost,Ama Ata Aidoo,1964,Ghana,Western Africa,Africa,,English,50,A book from Ghana.,,Drama
Woza Albert!,Percy Mtwa,1981,South Africa,Southern Africa,Africa,,English,80,A book from South Africa.,,Drama
Kinjeketile,Ebrahim Hussein,1969,Tanzania,Eastern Africa,Africa,,Swahili,50,A book from Tanzania.,,Drama
Parentheses of Blood,Sony Labou Tansi,1981,Congo DRC,Middle Africa,Africa,,French,62,A book from DR Congo.,,Drama
Barranca abajo,Florencio Sanchez,1905,Uruguay,South America,South America,,Spanish,120,A book from Uruguay.,,Drama
Paper Flowers,Egon Wolff,1970,Chile,South America,South America,,Spanish,78,A book from Chile.,,Drama
At the Right Hand of God the Father,Enrique Buenaventura,1958,Colombia,South America,South America,,Spanish,80,A book from Colombia.,,Drama
Death of Yazdgerd,Bahram Beyzaie,1979,Iran,Southern Asia,Asia,,Persian,120,A book from Iran.,,Drama
The Ballad of Ali of Keshan,Haldun Taner,1964,Turkey,Western Asia,Asia,,Turkish,160,A book from Turkey.,,Drama
The Impostor,Rodolfo Usigli,1938,Mexico,Central America,North America,,Spanish,120,A book from Mexico.,,Drama
Felipe Ángeles,Elena Garro,1967,Mexico,Central America,North America,,Spanish,120,A book from Mexico.,,Drama
Between Villa and a Naked Woman,Sabina Berman,1993,Mexico,Central America,North America,,Spanish,100,A book from Mexico.,,Drama
Summer of the Seventeenth Doll,Ray Lawler,1955,Australia,Australia and New Zealand,Oceania,,English,136,A book from Australia.,,Drama
Away,Michael Gow,1986,Australia,Australia and New Zealand,Oceania,,English,80,A book from Australia.,,Drama
The Pohutukawa Tree,Bruce Mason,1960,New Zealand,Australia and New Zealand,Oceania,,English,77,A book from New Zealand.,,Drama
Richard II,William Shakespeare,1595,UK,Northern Europe,Europe,,English,120,A book from UK.,,Drama
Richard III,William Shakespeare,1593,UK,Northern Europe,Europe,,English,140,A book from UK.,,Drama
A Portrait of the Artist as Filipino,Nick Joaquin,1950,Philippines,South-Eastern Asia,Asia,,English,120,A book from Philippines.,,Drama
Les Belles-soeurs,Michel Tremblay,1968,Canada,Northern America,North America,,French,120,A book from Canada.,,Drama
The Gods Are Not to Blame,Ola Rotimi,1968,Nigeria,Western Africa,Africa,,English,80,A book from Nigeria.,,Drama
The Lady Aoi,Yukio Mishima,1954,Japan,Eastern Asia,Asia,,Japanese,60,A book from Japan.,,Drama
The Merchant of Venice,William Shakespeare,1600,UK,Northern Europe,Europe,1,English,100,,,Drama
Julius Caesar,William Shakespeare,1599,UK,Northern Europe,Europe,,English,100,,,Drama
Twilight Crane,Junji Kinoshita,1949,Japan,Eastern Asia,Asia,,Japanese,80,A book from Japan.,,Drama
I Will Marry When I Want,Ngugi wa Thiong'o,1977,Kenya,Eastern Africa,Africa,,English,100,A book from Kenya.,,Drama
The Marriage of Anansewa,Efua Sutherland,1975,Ghana,Western Africa,Africa,,English,80,A book from Ghana.,,Drama
Emily of Emerald Hill,Stella Kon,1984,Singapore,South-Eastern Asia,Asia,,English,80,A book from Singapore.,,Drama
The Coffin Is Too Big for the Hole,Kuo Pao Kun,1985,Singapore,South-Eastern Asia,Asia,,English,50,A book from Singapore.,,Drama
The Post Office,Rabindranath Tagore,1912,India,Southern Asia,Asia,,Bengali,80,A book from India.,,Drama
Nagamandala,Girish Karnad,1988,India,Southern Asia,Asia,,Kannada,100,A book from India.,,Drama
The Glembays,Miroslav Krleza,1929,Croatia,Southern Europe,Europe,,Croatian,140,A book from Croatia.,,Drama
The Wedding,Stanislaw Wyspianski,1901,Poland,Eastern Europe,Europe,,Polish,140,A book from Poland.,,Drama
Antigone,Jean Anouilh,1944,France,Western Europe,Europe,,French,80,A book from France.,,Drama
for colored girls who have considered suicide,Ntozake Shange,1976,USA,Northern America,North America,,English,80,A book from USA.,,Drama
How I Learned to Drive,Paula Vogel,1997,USA,Northern America,North America,,English,100,A book from USA.,,Drama
The Oresteia,Aeschylus,458 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,200,A book from Greece.,,Drama
The Persians,Aeschylus,472 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Drama
Seven Against Thebes,Aeschylus,467 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Drama
Oedipus Rex,Sophocles,429 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,80,A book from Greece.,,Drama
Antigone,Sophocles,441 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,80,A book from Greece.,,Drama
Oedipus at Colonus,Sophocles,401 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,90,A book from Greece.,,Drama
Philoctetes,Sophocles,409 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Drama
Ajax,Sophocles,442 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,80,A book from Greece.,,Drama
Medea,Euripides,431 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,80,A book from Greece.,,Drama
Hippolytus,Euripides,428 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,80,A book from Greece.,,Drama
The Trojan Women,Euripides,415 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Drama
Electra,Euripides,413 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Drama
Iphigenia at Aulis,Euripides,405 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Drama
The Bacchae,Euripides,405 BC,Ancient Greece,Southern Europe,Europe,,Ancient Greek,80,A book from Greece.,,Drama
Alcestis,Euripides,438 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,80,A book from Greece.,,Drama
Helen,Euripides,412 BC,Ancient Greece,Southern Europe,Europe,1,Ancient Greek,80,A book from Greece.,,Drama
